geneName	comGeneName	iE4	iE5	iE6	iE7	iE8	iE9	iE10	iE11	iE14	iE15	iE18	iE19	iE21	iE22	iE23	iE25	iE30	iE35	iE39	iE48	iE50	iE51	iE52	iE55	iE57	iE58	iE59	iE62	iE65	iE69	iE73	iE74	iE75	iE77	iE78	iE79	iE80	iE82	iE83	iE84	iE86	iE87	iE88	iE91	iE92	iE93	iE94	iE95
YKL175W	ZRT3	2.26144513552929	0	0	0.850520797430105	0	0.506826835595449	0	1.3524680287669	2.49137118295012	1.81432473387559	1.3156301412036	1.82649671795701	0	0	0.532971751026297	0	0	1.06380941621408	3.12174755705009	2.02812894557932	0.490452611232898	0	0.901531047106972	1.8557280783965	1.57045044858424	1.68354049534421	3.97091013393997	0	1.53439746895741	0	0.508693595848919	1.59324743240663	0.861911369521251	2.07781964503992	0	2.77360746895457	1.42958179572757	1.87590350518467	0	0.779240668940604	1.27985020674847	1.62968966266793	0	0.849980604168275	3.74054719717603	0	3.21115159779853	0
YKL173W	SNU114	0	0.636633175598346	2.2008539259016	0	2.87556411932475	0	0	0	0.711820337985748	0.907162366937797	0	0	1.19077869092167	0	0.532971751026297	1.48395542792927	0	0	3.12174755705009	0	0	0	0.901531047106972	0.927864039198248	0	0	0	0	1.53439746895741	0	0.508693595848919	0	0	0	0.473741534431481	0	0.476527265242523	0	0	0	0	0.651875865067171	0	0.991644038196321	0	0	2.14076773186569	2.49698852512266
YKL172W	EBP2	9.79959558729361	4.45643222918842	11.004269629508	2.55156239229031	8.62669235797424	3.04096101357269	3.26754053627292	5.40987211506759	8.00797880233966	6.35013656856457	3.289075353009	1.82649671795701	4.76311476368667	2.84883398823053	2.13188700410519	16.3235097072219	12.2231786324685	9.57428474592673	12.4869902282003	4.05625789115863	1.47135783369869	0.871502776899369	9.01531047106972	6.80433628745382	5.49657657004485	2.52531074301631	4.96363766742496	12.673960201336	4.09172658388641	3.44827835972699	4.57824236264027	12.745979459253	6.89529095617001	9.35018840267963	10.4223137574926	7.39628658387886	3.33569085669766	12.1933727837004	9.0521053522611	3.89620334470302	8.95895144723932	6.51875865067171	4.83826321490305	4.10823958681333	3.74054719717603	4.20049437284777	4.28153546373138	7.49096557536797
YKL171W	YKL171W	0.753815045176432	0	0	0.850520797430105	0	0	0	0	0.177955084496437	0	0.6578150706018	0	1.19077869092167	0	0	0	1.35813095916316	0	0	0	0	0	0	0.309288013066083	0	0.841770247672104	0	0	0	0	0	0	0.861911369521251	0	0	0	0.476527265242523	0	0	0	0	0.325937932533585	1.61275440496768	0.283326868056092	1.87027359858801	0	0	0
YKL170W	MRPL38	2.26144513552929	1.90989952679504	2.2008539259016	2.55156239229031	1.43778205966237	1.52048050678635	0	4.05740408630069	1.4236406759715	2.72148710081339	0	9.13248358978507	2.38155738184334	2.84883398823053	0.532971751026297	4.4518662837878	0	1.06380941621408	6.24349511410017	4.05625789115863	2.94271566739739	0.871502776899369	2.70459314132092	4.17538817639212	0	1.68354049534421	1.98545506696998	6.33698010066798	2.04586329194321	3.44827835972699	0.508693595848919	1.59324743240663	3.44764547808501	3.11672946755988	1.89496613772592	2.77360746895457	3.33569085669766	0.937951752592337	0	3.89620334470302	0	1.95562759520151	3.22550880993537	3.25825898264505	0	0.840098874569555	0	2.49698852512266
SUT227	SUT227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154644006533041	0	0	0.992727533484992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325937932533585	0	0	0	0	0	0
SUT228	SUT228	0	0.636633175598346	2.2008539259016	0	0	0.506826835595449	3.26754053627292	0	0.177955084496437	0.907162366937797	1.3156301412036	0	3.57233607276501	0	1.06594350205259	0	0	1.06380941621408	0	0	0.980905222465796	0	0.901531047106972	0.309288013066083	0	0.841770247672104	1.98545506696998	0	0.511465822985802	3.44827835972699	0	0	0	0	1.89496613772592	0.924535822984857	0	0	3.0173684507537	0.779240668940604	2.55970041349695	0.651875865067171	1.61275440496768	0.566653736112183	0	0.840098874569555	2.14076773186569	0
YKL163W	PIR3	0	0	0	0	0	0	0	0	0.533865253489311	0	0	0	0	0	0	0	0	0	0	0	0.490452611232898	0	1.80306209421394	0.154644006533041	0	0	0	6.33698010066798	0	0	0	0	0	0	0	0	0	0.937951752592337	0	0.779240668940604	0	0	1.61275440496768	0.424990302084137	1.87027359858801	0	1.07038386593284	0
SUT229	SUT229	0	0	0	0	0	0	3.26754053627292	0	0.177955084496437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901531047106972	0	0	0	0	0	0	0	0	0	0.861911369521251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YKL160W	ELF1	0.753815045176432	4.45643222918842	0	4.25260398715052	5.75112823864949	3.54778784916814	3.26754053627292	2.70493605753379	4.44887711241093	4.53581183468898	1.9734452118054	5.47949015387104	2.38155738184334	1.42441699411526	4.26377400821037	4.4518662837878	4.07439287748949	5.31904708107041	3.12174755705009	4.05625789115863	1.96181044493159	1.74300555379874	9.01531047106972	5.72182824172253	2.35567567287637	2.52531074301631	2.97818260045498	12.673960201336	3.06879493791481	0	2.03477438339568	4.77974229721988	3.44764547808501	2.07781964503992	4.26367380988333	0	2.85916359145514	2.81385525777701	3.0173684507537	2.33772200682181	1.27985020674847	4.56313105547019	4.83826321490305	3.3999224166731	0	4.20049437284777	2.14076773186569	2.49698852512266
SUT230	SUT230	0	0.636633175598346	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48395542792927	0	0	0	0	0	0.871502776899369	0	0	0	0	0	0	0.511465822985802	0	0	0	0	0	0.473741534431481	0	0	0	0	0	0	0.325937932533585	0	0.141663434028046	0	0.840098874569555	1.07038386593284	0
